annee,code_departement,[president_sortant]tour,[president_sortant]famille_politique,[president_sortant]pourcentage
2007,12,t1,droite,38.61
2007,12,t1,gauche,39.53
2007,12,t2,droite,50.24
2007,12,t2,gauche,49.76
2007,13,t1,centre,11.6
2007,13,t1,droite,58.16
2007,13,t1,gauche,30.24
2007,13,t2,droite,63.64
2007,13,t2,gauche,36.36
2007,14,t1,centre,20.82
2007,14,t1,droite,43.06
2007,14,t1,gauche,36.12
2007,14,t2,droite,48.93
2007,14,t2,gauche,51.07
2007,15,t1,centre,20.25
2007,15,t1,droite,45.77
2007,15,t1,gauche,33.98
2007,15,t2,droite,55.87
2007,15,t2,gauche,44.13
2007,16,t1,centre,17.74
2007,16,t1,droite,39.15
2007,16,t1,gauche,43.11
2007,16,t2,droite,46.03
2007,16,t2,gauche,53.97
2007,17,t1,centre,14.79
2007,17,t1,droite,48.22
2007,17,t1,gauche,36.99
2007,17,t2,droite,52.72
2007,17,t2,gauche,47.28
2007,18,t1,centre,19.17
2007,18,t1,droite,47.19
2007,18,t1,gauche,33.64
2007,18,t2,droite,53.64
2007,18,t2,gauche,46.36
2007,19,t1,centre,17.78
2007,19,t1,droite,39.89
2007,19,t1,gauche,42.33
2007,19,t2,droite,47.77
2007,19,t2,gauche,52.23
2007,21,t1,centre,17.32
2007,21,t1,droite,49.65
2007,21,t1,gauche,33.03
2007,21,t2,droite,55.03
2007,21,t2,gauche,44.97
2007,22,t1,centre,20.55
2007,22,t1,droite,37.64
2007,22,t1,gauche,41.81
2007,22,t2,droite,43.23
2007,22,t2,gauche,56.77
2007,23,t1,centre,16.1
2007,23,t1,droite,42.13
2007,23,t1,gauche,41.77
2007,23,t2,droite,44.39
2007,23,t2,gauche,55.61
2007,24,t1,centre,16.92
2007,24,t1,droite,40.46
2007,24,t1,gauche,42.62
2007,24,t2,droite,45.68
2007,24,t2,gauche,54.32
2007,25,t1,centre,16.45
2007,25,t1,droite,50.4
2007,25,t1,gauche,33.15
2007,25,t2,droite,55.95
2007,25,t2,gauche,44.05
2007,26,t1,centre,18.75
2007,26,t1,droite,48.84
2007,26,t1,gauche,32.42
2007,26,t2,droite,54.87
2007,26,t2,gauche,45.13
2007,27,t1,centre,17.26
2007,27,t1,droite,50.59
2007,27,t1,gauche,32.15
2007,27,t2,droite,57.17
2007,27,t2,gauche,42.83
2007,28,t1,centre,18.4
2007,28,t1,droite,51.76
2007,28,t1,gauche,29.84
2007,28,t2,droite,59.4
2007,28,t2,gauche,40.6
2007,29,t1,centre,24.08
2007,29,t1,droite,38.23
2007,29,t1,gauche,37.68
2007,29,t2,droite,45.54
2007,29,t2,gauche,54.46
2007,2A,t1,centre,12.8
2007,2A,t1,droite,61.83
2007,2A,t1,gauche,25.37
2007,2A,t2,droite,61.66
2007,2A,t2,gauche,38.34
2007,2B,t1,centre,10.44
2007,2B,t1,droite,60.42
2007,2B,t1,gauche,29.13
2007,2B,t2,droite,61.15
2007,2B,t2,gauche,38.85
2007,30,t1,centre,14.04
2007,30,t1,droite,56.1
2007,30,t1,gauche,29.87
2007,30,t2,droite,59.31
2007,30,t2,gauche,40.69
2007,31,t1,centre,17.39
2007,31,t1,droite,38.77
2007,31,t1,gauche,43.84
2007,31,t2,droite,44.81
2007,31,t2,gauche,55.19
2007,32,t1,centre,18.96
2007,32,t1,droite,37.37
2007,32,t1,gauche,43.67
2007,32,t2,droite,48.34
2007,32,t2,gauche,51.66
2007,33,t1,centre,17.88
2007,33,t1,droite,43.84
2007,33,t1,gauche,38.28
2007,33,t2,droite,46.73
2007,33,t2,gauche,53.27
2007,34,t1,centre,12.82
2007,34,t1,droite,52.49
2007,34,t1,gauche,34.7
2007,34,t2,droite,54.47
2007,34,t2,gauche,45.53
2007,35,t1,centre,23.29
2007,35,t1,droite,36.31
2007,35,t1,gauche,40.39
2007,35,t2,droite,45.07
2007,35,t2,gauche,54.93
2007,36,t1,centre,17.76
2007,36,t1,droite,45.49
2007,36,t1,gauche,36.75
2007,36,t2,droite,48.22
2007,36,t2,gauche,51.78
2007,37,t1,centre,19.57
2007,37,t1,droite,46.8
2007,37,t1,gauche,33.62
2007,37,t2,droite,51.97
2007,37,t2,gauche,48.03
2007,38,t1,centre,17.84
2007,38,t1,droite,46.44
2007,38,t1,gauche,35.72
